코드,항목명
    33209,그 외 통계‧데이터 관련 사무원
 34,금융 사무직
  340,금융 사무 종사자
   3401,출납 창구 사무원
    34010,출납 창구 사무원
   3402,보험 심사원 및 사무원
    34021,보험 심사원
    34022,보험 사무원
   3403,은행 사무원
    34030,은행 사무원
   3404,증권 사무원
    34040,증권 사무원
   3405,수금원 및 신용 추심원
    34051,수금원
    34052,신용 추심원
   3409,기타 금융 사무원
    34090,그 외 금융 사무원
 35,법률‧감사 및 정부 행정 사무직
  351,법률 및 감사 사무 종사자
   3511,법률 관련 사무원
    35111,법무 사무원
    35112,특허 사무원
    35119,그 외 법률 관련 사무원
   3512,감사 사무원
    35120,감사 사무원
  352,정부 행정 사무 종사자
   3521,조세 행정 사무원
    35210,조세 행정 사무원
   3522,관세 행정 사무원
    35220,관세 행정 사무원
   3523,병무 행정 사무원
    35230,병무 행정 사무원
"3111
~3729","352 제외 세분류
*유사한 직무를 판단하여 해당되는 코드로 분류"
"31110
~37299","352 제외 세세분류
*유사한 직무를 판단하여 해당되는 코드로 분류"
   3529,기타 정부 행정 사무원
    35290,그 외 정부 행정 사무원
,
 36,상담‧안내 및 접수 사무직
  361,여행‧안내 및 접수 사무원
   3611,여행 사무원
    36110,여행 사무원
   3612,안내‧접수원 및 전화교환원
    36121,예약 및 접수 사무원
    36122,데스크 안내원
    36123,방송 안내원
    36124,전화교환 및 전화번호 안내원
    36129,그 외 안내‧접수원 및 전화교환원
  362,고객 상담 및 모니터 요원
   3620,고객 상담 및 모니터 요원
    36201,의료 서비스 상담 종사원
    36202,전화 상담원
    36203,방문 고객 상담원
    36204,모니터 요원
    36205,중개 사무원
    36206,취업 알선원
    36209,그 외 고객 상담 사무원
 37,일반 지원 사무직
  371,총무 사무원 및 대학 행정조교
   3710,총무 사무원 및 대학 행정조교
    37101,총무 사무원
    37102,대학 행정조교
  372,비서 및 사무 지원 종사자
   3721,비서
    37211,관리 비서
    37212,일반 비서
   3722,연예인 및 스포츠 매니저
    37221,연예인 매니저
    37222,스포츠 매니저
   3723,전산 자료 입력원
    37231,약국 전산 관리원
    37239,그 외 전산 자료 입력원
   3724,속기사
    37240,속기사
   3725,자원봉사 관리원
    37250,자원봉사 관리원
   3729,기타 사무 지원 종사원 
    37291,출판 및 자료 편집 사무원
    37299,그 외 사무 지원 종사원
,
4,서비스 종사자
 41,경찰‧소방 및 보안 관련 서비스직
  411,경찰‧소방 및 교도 관련 종사자
   4111,경찰관 및 수사관
    41111,해양 경찰관 및 수사관
    41112,일반 경찰관 및 수사관
   4112,소방관
    41120,소방관
   4113,소년원 학교 교사 및 교도관
    41131,소년원 학교 교사
    41132,교도관
  412,경호 및 보안 관련 종사자
   4121,경호원
    41210,경호원
   4122,청원경찰
    41220,청원경찰
   4123,시설 및 특수 경비원
    41231,시설 경비원
    41232,호송 경비원
    41233,기계 경비원
    41234,특수 경비원
    41239,그 외 시설 및 특수 경비원
   4124,보안 관제원
    41240,보안 관제원
   4129,기타 경호 및 보안 관련 종사원
    41291,유통 및 매장 감시원
    41292,주차 단속원
    41299,그 외 경호 및 보안 관련 종사원
 42,돌봄 및 보건 서비스직
  421,교사 보조 및 아동 돌봄 종사자
   4211,교사 보조 및 관련 종사원
    42111,유치원교사 보조원
    42112,학교교사 보조원
    42113,유치원 및 학교 돌봄 종사원
   4212,보육 관련 시설 돌봄 종사원
    42120,보육 관련 시설 돌봄 종사원
   4219,기타 교사 보조 및 아동 돌봄 종사원
    42191,방문 아동 돌봄 종사원
    42199,그 외 교사 보조 및 아동 돌봄 종사원
  422,요양보호사 및 간병인
   4221,요양보호사
    42210,요양보호사
   4222,간병인
    42220,간병인
  423,노인 및 장애인 돌봄 종사자
   4231,노인 돌봄 종사원
    42310,노인 돌봄 종사원
   4232,장애인 돌봄 종사원
    42320,장애인 돌봄 종사원
  429,기타 돌봄 및 보건 서비스 종사자
   4290,기타 돌봄 및 보건 서비스 종사원
    42901,산후조리 종사원
    42902,치료사 보조원
    42909,그 외 돌봄 및 보건 서비스 종사원
 43,개인 생활 서비스직
  431,미용 관련 서비스 종사자
   4311,이용사
    43110,이용사
   4312,미용사
    43120,미용사
   4313,네일 관리사
    43130,네일 관리사
   4314,피부 및 체형 관리사
    43141,피부 관리사
    43142,체형 관리사
    43143,목욕 관리사
    43149,그 외 피부 및 체형 관리 종사원
   4315,메이크업 아티스트 및 분장사
    43151,메이크업 아티스트
    43152,특수 분장사
    43153,분장사
   4319,기타 미용 관련 서비스 종사원
    43191,패션 코디네이터
    43192,이미지 컨설턴트
    43199,그 외 미용 관리 서비스 종사원
  432,혼례 및 장례 종사자
   4321,결혼 상담원 및 웨딩플래너
    43211,결혼 상담원
    43212,웨딩플래너
   4322,혼례 종사원
    43220,혼례 종사원
   4323,장례 상담원 및 장례 지도사
    43231,장례 상담원
    43232,장례 지도사
  433,동물 관련 서비스 종사자
   4331,수의사 보조원
    43311,동물 보건사
    43319,그 외 수의사 보조원
   4332,반려동물 훈련사 및 행동 상담사
    43321,반려동물 훈련사
    43322,반려동물 행동 상담사
   4333,반려동물 관리 종사원
    43331,반려동물 미용사
    43339,그 외 반려동물 관리 종사원
  439,기타 개인 생활 서비스 종사자
   4391,점술가 및 민속신앙 종사원
    43911,점술가
    43912,민속신앙 관련 종사원
   4399,기타 개인 생활 서비스 종사원
    43990,그 외 개인 생활 서비스 종사원
 44,운송 및 여가 서비스직
  441,운송 서비스 종사자
   4411,항공기 객실 승무원
    44110,항공기 객실 승무원
   4412,선박 및 열차 객실 승무원
    44121,선박 객실 승무원
    44122,열차 객실 승무원
  442,여가 서비스 종사자
   4421,관광 서비스 종사원
    44211,국내 여행 안내사
    44212,국외 여행 안내사
    44213,관광 통역 안내사
    44214,미술관‧박물관 해설 및 안내원
    44215,전시 및 시설 견학 안내원
    44216,문화 관광 및 숲‧자연환경 해설사
    44219,그 외 관광 서비스 종사원
   4422,숙박시설 서비스 종사원
    44221,호텔 서비스원
    44229,그 외 숙박시설 서비스원
   4423,오락시설 서비스 종사원
    44231,유원시설 및 테마파크 서비스원
    44232,노래방 서비스원
    44239,그 외 오락시설 서비스원
   4429,기타 여가 서비스 종사원
    44291,카지노 딜러
    44292,골프장 캐디
    44293,응원단원
    44299,그 외 여가 서비스원
 45,조리 및 음식 서비스직
  451,조리사
   4511,한식 조리사
    45110,한식 조리사
   4512,중식 조리사
    45120,중식 조리사
   4513,양식 조리사
    45130,양식 조리사
   4514,일식 조리사
    45140,일식 조리사
   4515,단체급식 조리사
    45150,단체급식 조리사
   4519,기타 조리사
    45191,분식 조리사
    45199,그 외 조리사
  452,음료 조리 종사자
   4521,음료 조리원
    45211,커피 조리원
    45212,전통차 조리원
    45219,그 외 음료 조리원 
   4522,바텐더
    45220,바텐더
  453,식음료 서비스 종사자
   4531,식음료 서비스 종사원
    45311,음식 서비스 종사원
    45312,음료 서비스 종사원
    45313,주류 서비스 종사원
   4539,기타 식음료 서비스 종사원
    45391,병원 배식원
    45399,그 외 식음료 서비스 종사원
5,판매 종사자
 51,영업직
  510,영업 종사자
   5101,자동차 영업원
    51011,신차 영업원
    51012,중고차 영업원
   5102,제품 영업원
    51021,건축자재 영업원
    51022,식품 영업원
    51029,그 외 제품 영업원
   5103,보험 모집인 및 투자 권유 대행인
    51031,보험 중개인
    51032,보험 설계사
    51033,투자 권유 대행인
   5104,대출 및 신용카드 모집인
    51041,대출 모집인
    51042,신용카드 모집인
   5105,홍보 도우미 및 판촉원
    51051,행사 및 홍보 도우미
    51052,판촉원
   5109,기타 영업원
    51091,인쇄 및 광고 영업원
    51092,체인점 모집 및 관리 영업원
    51099,그 외 영업원
 52,매장 판매 및 상품 대여직
  521,매장 판매 종사자
   5211,소규모 상점 경영 및 일선 관리 종사원
    52111,소규모 상점 경영자
    52112,소규모 상점 일선 관리 종사원
   5212,상점 판매원
    52121,의류 판매원
    52122,화장품 판매원
    52123,가전제품 판매원
    52124,가구 판매원
    52125,신발 및 액세서리 판매원
    52126,서적‧문구 및 음반 판매원
    52127,원예작물 판매원
    52128,음식료품 판매원
    52129,그 외 상점 판매원
   5213,매표원 및 복권 판매원
    52131,항공권 판매원
    52132,승차권 판매원
    52133,입장권 판매원
    52134,복권 및 마권 판매원
    52139,그 외 매표원 및 복권 판매원
   5214,매장 계산원 및 요금 정산원
    52141,매장 계산원
    52142,요금 정산원
  522,상품 대여 종사자
   5220,상품 대여원
    52201,자동차 대여원
    52202,생활용품 대여원
    52203,사무용품 대여원
    52204,오락 및 스포츠용품 대여원
    52205,도서 및 영상 기록 매체 대여원
    52209,그 외 상품 대여원
 53,통신 및 방문‧노점 판매 관련직
  531,통신 관련 판매 종사자
   5311,단말기 및 통신 서비스 판매원
    53110,단말기 및 통신 서비스 판매원
   5312,온라인 쇼핑 판매원
    53120,온라인 쇼핑 판매원
   5313,텔레마케터
    53130,텔레마케터
  532,방문 및 노점 판매 종사자
   5321,방문 판매원
    53210,방문 판매원
   5322,노점 및 이동 판매원
    53220,노점 및 이동 판매원
6,농림어업 숙련 종사자
 61,농축산 숙련직
  611,작물 재배 종사자
   6111,곡식작물 재배원
    61110,곡식작물 재배원
   6112,채소 및 특용작물 재배원
    61121,채소작물 재배원
    61122,특용작물 재배원
   6113,과수작물 재배원
    61130,과수작물 재배원
  612,원예 및 조경 종사자
   6121,원예작물 재배원
    61211,육묘작물 재배원
    61212,화훼작물 재배원
   6122,조경원
    61220,조경원
  613,축산 및 사육 관련 종사자
   6131,낙농 관련 종사원
    61311,젖소 사육원
    61319,그 외 낙농 관련 종사원
   6132,한우 및 육우 사육원
    61320,한우 및 육우 사육원
   6133,돼지 사육원
    61330,돼지 사육원
   6134,가금 사육원
    61341,육계 사육원
    61342,산란계 사육원
    61349,그 외 가금 사육원
   6139,기타 축산 및 사육 관련 종사원
,
    61391,양봉 종사원
    61392,수렵원
    61393,동물 부화원
    61394,병아리 감별사
    61395,동물원 사육사
    61399,그 외 축산 및 사육 관련 종사원
,
 62,임업 숙련직
  620,임업 관련 종사자
   6201,조림‧산림 경영인 및 벌목원
    62011,조림원 및 산림 경영인
    62012,벌목원
   6209,기타 임업 관련 종사원
    62091,임산물 채취원
    62099,그 외 임업 관련 종사원
 63,어업 숙련직
  630,어업 관련 종사자
   6301,양식원
    63011,어패류 양식원
    63012,해조류 양식원
    63019,그 외 양식원
   6302,어부 및 해녀
    63021,원근해 어부
    63022,내수면 어부
    63023,해녀
7,기능원 및 관련 기능 종사자
 71,식품 가공 관련 기능직
  710,식품 가공 관련 기능 종사자
   7101,제빵사 및 제과원
    71010,제빵사 및 제과원
   7102,떡 제조원
    71020,떡 제조원
   7103,정육 가공원 및 도축원
    71031,정육 가공원
    71032,도축원
    71039,그 외 정육 가공 및 도축 관련 종사원
   7104,식품 및 담배 등급원
    71041,식품 등급원
    71042,담배 등급원
   7105,김치 및 밑반찬 제조 종사원
    71051,김치 제조 종사원
    71052,밑반찬 제조 종사원
   7106,도시락 제조원
    71060,도시락 제조원
   7109,기타 식품 가공 관련 기능 종사원
    71091,건강원 및 탕제원 종사원
    71092,수산물 가공 및 염장원
    71099,그 외 식품 가공 관련 기능 종사원
 72,섬유‧의복 및 가죽 관련 기능직
  721,섬유 및 가죽 관련 기능 종사자
   7211,패턴사
    72111,직물 패턴사
    72112,가죽 패턴사
    72113,모피 패턴사
    72119,그 외 패턴사
   7212,재단사
    72121,의복 재단사
    72122,신발 및 구두 재단사
    72129,그 외 재단사
   7213,재봉사
    72131,직물 재봉사
    72132,가죽 및 모피 재봉사
    72133,신발 재봉사
    72134,기계 자수사
    72139,그 외 재봉사
   7214,제화원
    72140,제화원
   7219,기타 섬유 및 가죽 관련 기능 종사원
    72191,모자 제조원
    72192,카펫 및 가발 제조원
    72193,시트 제품 제조원
    72194,수날염원
    72195,섬유 및 펠트 관련 선별원
    72199,그 외 섬유 및 가죽 관련 기능 종사원
  722,의복 제조 관련 기능 종사자
   7221,한복 제조원
    72210,한복 제조원
   7222,양장 및 양복 제조원
    72221,양장 제조원
    72222,양복 제조원
   7223,모피 및 가죽 의복 제조원
    72230,모피 및 가죽 의복 제조원
   7224,의복‧가죽 및 모피 수선원
    72241,의복 수선원
    72242,가죽 및 모피 수선원
    72243,구두 수선원
    72249,그 외 수선원
   7229,기타 의복 제조 관련 기능 종사원
    72290,그 외 의복 제조 관련 기능 종사원
 73,목재‧가구‧악기 및 간판 관련 기능직
  730,목재‧가구‧악기 및 간판 관련 기능 종사자
   7301,목제품 제조 관련 종사원
    73011,목재 케이스 및 나무 상자 제조원
    73019,그 외 목제품 제조 관련 종사원
   7302,가구 제조 및 수리원
    73021,가구 제조원
    73022,가구 수리원
   7303,악기 제조 및 조율사
    73031,악기 제조 및 수리원
    73032,조율사
   7304,간판 제작 및 설치원
    73040,간판 제작 및 설치원
 74,금속 성형 관련 기능직
  740,금속 성형 관련 기능 종사자
,
,
   7401,금형원
    74010,금형원
   7402,주조원
    74021,목형원
    74022,주형원
    74023,금속 주입원
   7403,단조원
    74030,단조원
   7404,제관원
    74040,제관원
   7405,판금원
    74050,판금원
   7406,용접원
    74061,가스 용접원
    74062,전기 용접원
    74069,그 외 용접원
 75,운송 및 기계 관련 기능직
  751,자동차 정비원
   7510,자동차 정비원
    75101,자동차 엔진 정비원
    75102,자동차 섀시 정비원
    75103,자동차 전기 및 전자 정비원
    75104,자동차 판금 및 도장 정비원
,
    75105,전기자동차 모터 정비원
    75106,전기자동차 배터리 정비원
    75107,자동차 경정비원
    75108,자동차 튜닝원
    75109,그 외 자동차 정비원
  752,운송장비 정비원
   7521,항공기 정비원
    75211,비행기 정비원
    75212,헬리콥터 정비원
   7522,선박 정비원
    75220,선박 정비원
   7523,철도 기관차 및 전동차 정비원
    75231,고속철 기관차 정비원
    75232,철도 기관차 정비원
    75233,전동차 정비원
    75234,여객차 및 화차 정비원
   7529,기타 운송장비 정비원
    75291,오토바이 정비원
    75292,자전거 정비원
    75299,그 외 운송장비 정비원
  753,기계장비 설치 및 정비원
   7531,로봇 설치 및 정비원
    75310,로봇 설치 및 정비원
   7532,공업기계 설치 및 정비원
    75320,공업기계 설치 및 정비원
,
,
,
,
,
   7533,승강기 설치 및 정비원
    75331,엘리베이터 설치 및 정비원
    75332,에스컬레이터 설치 및 정비원
    75333,휠체어 리프트 설치 및 정비원
   7534,물품 이동 장비 설치 및 정비원
    75341,크레인 설치 및 정비원
    75342,호이스트 설치 및 정비원
    75343,지게차 정비원
    75349,그 외 물품 이동 장비 설치 및 정비원
   7535,냉동‧냉장‧공조기 설치 및 정비원
    75351,건물용 냉동‧냉장‧공조기 설치 및 정비원
    75359,그 외 냉동‧냉장‧공조기 설치 및 정비원
   7536,보일러 설치 및 정비원
    75361,건물용 보일러 설치 및 정비원
    75369,그 외 보일러 설치 및 정비원
   7537,건설‧광업기계 설치 및 정비원
    75371,건설용 굴삭기 정비원
    75372,광업용 기계 설치 및 정비원
    75379,그 외 건설용 기계 정비원
   7539,농업용‧기타 기계장비 설치 및 정비원
    75391,농업용 기계 설치 및 정비원
    75399,그 외 기계장비 설치 및 정비원
 76,전기 및 전자 관련 기능직
  761,전기‧전자기기 설치 및 수리원
   7611,사무용 전자기기 설치 및 수리원
    76110,사무용 전자기기 설치 및 수리원
   7612,가전제품 설치 및 수리원
    76120,가전제품 설치 및 수리원
   7619,기타 전기‧전자기기 설치 및 수리원
    76191,감시카메라 설치 및 수리원
    76192,현금인출기 설치 및 수리원
    76193,포스 시스템 설치 및 수리원
    76194,영상‧전자음향기기 설치 및 수리원
    76195,의료기기 설치 및 수리원
    76196,시계 및 카메라 수리원
    76197,광학기구 수리원
    76198,드론기기 수리원
    76199,그 외 전기‧전자기기 설치 및 수리원
  762,전기공
   7621,산업 전기공
    76211,항공기 전기 설치원
    76212,선박 전기 설치원
    76213,철도차량 전기 설치원
    76214,플랜트 전기 설치원
    76219,그 외 산업 전기 설치원
   7622,내선 전기공
    76221,건물 내 전기 설치 및 정비원
    76222,비상 발전기 설치 및 정비원
    76223,조명 기구 설치 및 수리원
    76224,전기제어장치 설치 및 정비원
    76225,전기기기 설치 및 정비원
    76229,그 외 내선 설치 및 정비원
   7623,외선 전기공
    76231,송배전 설비 전기원
    76232,지중 전력 설비 전기원
    76233,전기 케이블 접속원
    76234,철도 고가 전선 가설원
    76239,그 외 외선 전기원
 77,정보 통신 및 방송장비 관련 기능직
  771,정보 통신기기 설치 및 수리원
   7711,컴퓨터 설치 및 수리원
    77110,컴퓨터 설치 및 수리원
   7712,이동전화기 수리원
    77120,이동전화기 수리원
   7719,기타 정보 통신기기 설치 및 수리원
    77190,그 외 정보 통신기기 설치 및 수리원
  772,방송‧통신장비 관련 설치 및 수리원
   7721,방송 관련 장비 설치 및 수리원
    77211,방송장비 설치 및 수리원
    77212,위성방송 안테나 설치 및 수리원
   7722,통신 관련 장비 설치 및 수리원
    77221,통신장비 설치 및 수리원
    77222,기지국 설치 및 수리원
   7723,통신‧방송‧인터넷 케이블 설치 및 수리원
    77231,통신 케이블 설치 및 수리원
    77232,방송 케이블 설치 및 수리원
    77233,인터넷 케이블 설치 및 수리원
 78,건설 및 채굴 관련 기능직
  781,건설 구조 관련 기능 종사자
   7811,강구조물 가공원 및 건립원
    78111,강구조물 가공원
    78112,강구조물 건립원
   7812,경량 철골공
    78120,경량 철골공
  782,건설 관련 기능 종사자
   7821,철근공
    78210,철근공
   7822,콘크리트공
    78221,인조석 설치원
    78222,콘크리트패널 조립원
    78223,콘크리트 타설원
   7823,건축 석공
    78230,건축 석공
   7824,건축 목공
    78241,전통 건물 건축원
    78242,외장 목공
    78243,형틀 목공
    78244,내장 목공
   7825,조적공 및 석재 부설원
    78251,조적공
    78252,보도블록 설치원
    78253,석재 부설원
    78259,그 외 조적공 및 석재 부설원
   7829,기타 건설 관련 기능 종사원
    78291,비계공
    78292,건물 칸막이 설치원
    78293,건물 해체원
    78299,그 외 건설 관련 기능 종사원
  783,건축 마감 관련 기능 종사자
   7831,미장공
    78310,미장공
   7832,방수공
    78320,방수공
   7833,단열공
    78330,단열공
   7834,바닥재 시공원
    78341,마루 설치원
    78342,타일 부착원
    78343,대리석 부착원
    78349,그 외 바닥재 시공원
   7835,도배공 및 유리 부착원
    78351,도배공
    78352,유리 부착원
   7836,건축 도장공
    78361,건물 도장공
    78369,그 외 건축 도장공
   7837,새시 조립 및 설치원
    78370,새시 조립 및 설치원
   7839,기타 건축 마감 관련 기능 종사원
    78391,건물 수리원
    78399,그 외 건축 마감 관련 기능 종사원
  784,채굴 및 토목 관련 기능 종사자
   7841,광원‧채석원 및 석재 절단원
    78411,광원
    78412,채석원
    78413,석재 절단원
   7842,철로 설치 및 보수원
    78421,철로 설치원
    78422,철로 보수원
   7849,기타 채굴 및 토목 관련 종사원
    78491,점화‧발파 및 화약 관리원
    78492,잠수 기능원
    78493,삭구원 및 케이블 접속원
    78494,천일염 생산 종사원
    78499,그 외 채굴 및 토목 관련 종사원
 79,기타 기능 관련직
  791,공예 및 귀금속 세공원
   7911,공예원
    79111,도자 공예원
    79112,목 공예원
    79113,석 공예원
    79114,종이 공예원
    79119,그 외 공예원
   7912,귀금속 및 보석 세공원
    79121,귀금속 세공원
    79122,보석 세공원
    79129,그 외 귀금속 및 보석 세공원
  792,배관공
   7921,건설 배관공
    79211,상‧하수 배관공
    79212,가스 배관공
   7922,공업 배관공
    79221,플랜트 배관공
    79222,선박 배관공
    79223,항공기 배관공
   7929,기타 배관공
    79290,그 외 배관공
  799,기타 기능 관련 종사자
   7991,세정원
    79911,배관 세정원
    79912,건물 외벽 세정원
    79919,그 외 세정원
   7992,방역원
    79920,방역원
   7999,기타 기능 관련 종사원
    79991,인쇄 관련 기능 종사원
    79992,유리 관련 기능 종사원
    79999,그 외 기능 관련 종사원
8,장치‧기계 조작 및 조립 종사자
 81,식품가공 관련 기계 조작직
  811,식품가공 관련 기계 조작원
   8111,제분 및 도정 관련 기계 조작원
    81111,곡물 및 사료 제분기 조작원
    81112,조미료 제분기 조작원
    81113,도정기 조작원
    81119,그 외 제분 및 도정 관련 기계 조작원
   8112,곡물가공 제품 기계 조작원
    81121,빵‧과자 및 떡 제조 기계 조작원
    81122,두부 및 유사 제품 기계 조작원
    81123,국수 및 면류 제품 기계 조작원
    81124,사탕‧껌 및 초콜릿 제품 기계 조작원
    81129,그 외 곡물가공 제품 기계 조작원
   8113,육류‧어패류 및 낙농품 가공 기계 조작원
    81131,육류가공 기계 조작원
    81132,어패류가공 기계 조작원
    81133,낙농품가공 기계 조작원
   8114,과실 및 채소가공 관련 기계 조작원
    81140,과실 및 채소가공 관련 기계 조작원
  812,음료 제조 관련 기계 조작원
   8120,음료 제조 관련 기계 조작원
    81201,알코올성 음료 제조기 조작원
    81202,비알코올성 음료 제조기 조작원
    81209,그 외 음료 제조 관련 기계 조작원
  819,기타 식품가공 관련 기계 조작원
   8190,기타 식품가공 관련 기계 조작원
    81901,유지 제조기 조작원
    81902,조미 식품 생산기 조작원
    81903,설탕 제조 관련 기계 조작원
    81904,커피 및 차류 제조기 조작원
    81905,담배 제조 관련 기계 조작원
    81906,건강식품 가공기 조작원
    81909,그 외 식품가공 관련 기계 조작원
 82,섬유 및 신발 관련 기계 조작직
  821,섬유 제조 및 가공 기계 조작원
   8211,섬유 제조 기계 조작원
    82110,섬유 제조 기계 조작원
   8212,표백 및 염색 관련 기계 조작원
    82121,표백기 조작원
    82122,염색 조색 및 배합기 조작원
    82123,날염기 조작원
    82124,염색기 조작원
    82129,그 외 표백 및 염색 관련 기계 조작원
  822,직물‧신발 관련 기계 조작원
   8221,직조기 및 편직기 조작원
    82211,제직기 조작원
    82212,편직기 조작원
    82219,그 외 직조기 및 편직기 조작원
   8222,신발 제조기 조작원
    82220,신발 제조기 조작원
   8229,기타 직물‧신발 관련 기계 조작원
    82291,가죽 및 모피 가공원
    82292,자동 재단기 조작원
    82293,자동 재봉 설비 조작원
    82299,그 외 직물‧신발 관련 기계 조작원
  823,세탁 기계 조작원
   8230,세탁 기계 조작원
    82301,드라이클리닝기 조작원
    82309,그 외 세탁 기계 조작원
 83,화학 관련 기계 조작직
  831,석유 및 화학물 가공 장치 조작원
   8311,석유 및 천연가스 제조 관련 제어 장치 조작원
    83111,원유 처리 장치 조작원
    83112,석유 및 천연가스 정제 장치 조작원
    83113,폐유 및 재생유 처리 장치 조작원
    83119,그 외 석유 및 천연가스 제조 관련 제어 장치 조작원
   8312,화학물 가공 장치 조작원
    83121,화학물 분쇄기‧마쇄기 및 혼합기 조작원
    83122,화학물 가열 처리 장치 조작원
    83123,화학물 여과기 및 분리기 조작원
    83124,화학물 증류기 및 반응기 조작원
    83129,그 외 화학물 가공 장치 조작원
   8319,기타 석유 및 화학물 가공 장치 조작원
    83190,그 외 석유 및 화학물 가공 장치 조작원
  832,화학‧고무 및 플라스틱 제품 생산기 조작원
   8321,화학제품 생산기 조작원
    83211,약제품 생산기 조작원
    83212,화장품 생산기 조작원
    83213,세제 생산기 조작원
    83214,비료 생산기 조작원
    83215,필름 생산기 조작원
    83216,가스 생산기 조작원
    83219,그 외 화학제품 생산기 조작원
   8322,타이어 및 고무제품 생산기 조작원
    83221,타이어 생산기 조작원
    83222,고무제품 생산기 조작원
    83229,그 외 타이어 및 고무제품 생산기 조작원
   8323,플라스틱제품 생산기 조작원
    83231,플라스틱 사출기 조작원
    83232,플라스틱 압출기 조작원
    83239,그 외 플라스틱제품 생산기 조작원
   8324,고무 및 플라스틱제품 조립원
    83241,고무제품 조립원
    83242,플라스틱제품 조립원
 84,금속 및 비금속 관련 기계 조작직
  841,주조 및 금속가공 관련 기계 조작원
   8411,주조기 조작원
    84110,주조기 조작원
   8412,단조기 조작원
    84120,단조기 조작원
   8413,용접기 조작원
    84130,용접기 조작원
   8414,금속가공 관련 제어 장치 조작원
    84141,광석 및 금속 용광로 조작원
    84142,금속용해로 및 금속가열로 조작원
    84149,그 외 금속가공 관련 제어 장치 조작원
   8415,금속가공 기계 조작원
    84151,압연기 조작원
    84152,인발기 조작원
    84153,연선기 조작원
    84154,압출기 조작원
    84155,금속 열처리로 조작원
    84159,그 외 금속가공 기계 조작원
   8416,제관기 조작원
    84160,제관기 조작원
   8417,판금기 조작원
    84170,판금기 조작원
  842,도장 및 도금기 조작원
   8421,도장기 조작원
    84211,차량 도장기 조작원
    84212,가구 도장기 조작원
    84213,금속제품 도장기 조작원
    84219,그 외 도장기 조작원
   8422,도금 및 금속 분무기 조작원
    84221,금속 세척기 조작원
    84222,전기 도금기 조작원
    84223,용융 도금기 조작원
    84224,금속 분무기 조작원
    84225,금속코팅‧광택 및 래미네이팅기 조작원
    84229,그 외 도금 및 금속 분무기 조작원
  843,비금속제품 생산기 조작원
   8431,유리 제조 및 가공기 조작원
    84311,유리 제조 및 제품 가공기 조작원
    84312,렌즈 및 프리즘 가공기 조작원
    84319,그 외 유리 제조 및 가공기 조작원
   8432,점토제품 생산기 조작원
    84321,도자기제품 생산기 조작원
    84322,벽돌 및 타일 생산기 조작원
    84329,그 외 점토제품 생산기 조작원
   8433,시멘트 및 광물제품 제조기 조작원
    84331,시멘트 및 석회 제조 관련 조작원
    84332,콘크리트제품 제조 관련 조작원
    84339,그 외 시멘트 및 광물제품 제조기 조작원
   8434,광석 및 석제품 가공기 조작원
    84341,광석 및 석재 가공장치 조작원
    84342,석제품 가공기 조작원
   8439,기타 비금속제품 관련 생산기 조작원
    84391,유약 생산기 조작원
    84392,광택제 생산기 조작원
    84399,그 외 비금속제품 관련 생산기 조작원
 85,기계 제조‧관련 기계 조작 및 조립직
  851,금속 공작 기계 조작원
   8510,금속 공작 기계 조작원
    85101,선반기 조작원
    85102,밀링기 조작원
    85103,드릴링기 및 보링기 조작원
    85104,연삭기 및 연마기 조작원
    85105,프레스기 및 절단기 조작원
    85106,금속 절곡기 조작원
    85107,머시닝센터 조작원
    85109,그 외 금속 공작 기계 조작원
  852,냉난방 관련 설비 조작원
   8520,냉난방 관련 설비 조작원
    85201,냉난방기 관련 설비 조작원
    85202,냉동 및 냉장기 설비 조작원
    85203,공조기 설비 조작원
  853,자동 조립라인 및 산업용로봇 조작원
   8530,자동 조립라인 및 산업용로봇 조작원
    85301,자동 조립라인 조작원
    85302,산업용로봇 조작원
  854,운송차량 조립원
   8541,자동차 조립원
    85411,내연기관 자동차 조립원
    85412,전기 자동차 조립원
   8542,자동차 부품 조립원
    85421,자동차 엔진 조립원
    85422,자동차 차체 부품 조립원
    85429,그 외 자동차 부품 조립원
   8543,운송장비 조립원
    85431,철도차량 조립원
    85432,선박 조립원
    85433,항공기 조립원
    85439,그 외 운송장비 조립원
  855,기계 및 기계 부품 조립원
   8551,일반기계 조립원
    85511,공업기계 조립원
    85512,농업기계 조립원
    85513,건설기계 조립원
    85514,공작기계 조립원
    85515,공구 조립원
    85519,그 외 일반기계 조립원
   8552,기계 부품 조립원
    85521,금속기계 부품 조립원
    85529,그 외 기계 부품 조립원
 86,전기‧전자 관련 기계 조작 및 조립직
  861,발전 및 배전 장치 조작원
   8610,발전 및 배전 장치 조작원
    86101,화력발전 장치 운전원
    86102,수력발전 장치 운전원
    86103,원자력발전 장치 운전원
    86104,발전터빈 조작원
    86105,배전반 조작원
    86109,그 외 발전 및 배전 장치 조작원
  862,전기 및 전자설비 조작원
   8620,전기 및 전자설비 조작원
    86201,건물 전기 및 전자설비 조작원
    86202,공장 전기 및 전자설비 조작원
    86209,그 외 전기 및 전자설비 조작원
  863,전기‧전자 부품 및 제품 제조 장치 조작원
   8631,일차전지 및 이차전지 제조 기계 조작원
    86311,일차전지 제조 기계 조작원
    86312,이차전지 제조 기계 조작원
   8632,전기 부품 및 제품 제조 기계 조작원
    86321,전기 부품 제조 기계 조작원
