코드,항목명
    22121,통신기기 기술자 및 연구원
    22122,통신장비 기술자 및 연구원
    22123,통신기술 기술자 및 연구원
    22124,통신망 운영 기술자 및 연구원
    22129,그 외 통신공학 기술자 및 연구원
  222,컴퓨터 시스템 및 소프트웨어 전문가
   2221,컴퓨터 시스템 전문가
    22211,정보통신기술 컨설턴트
    22212,컴퓨터 시스템 감리 전문가
    22213,컴퓨터 시스템 설계 및 분석가
   2222,시스템 소프트웨어 개발자
    22221,시스템 소프트웨어 설계 및 분석가
    22222,시스템 소프트웨어 프로그래머
   2223,응용 소프트웨어 개발자
    22231,범용 소프트웨어 개발자
    22232,산업 특화 소프트웨어 개발자
    22233,모바일 애플리케이션 개발자
    22234,게임 개발자 
    22235,네트워크 프로그램 개발자
    22239,그 외 응용 소프트웨어 개발자 
   2224,웹 개발자
    22241,웹 기획자
    22242,웹 프로그래머
   2229,기타 컴퓨터 시스템 및 소프트웨어 전문가
    22291,소프트웨어 품질관리 전문가
    22299,그 외 컴퓨터 시스템 및 소프트웨어 전문가
  223,네트워크 및 정보 보안 전문가
   2231,네트워크 시스템 개발자
    22310,네트워크 시스템 개발자
   2232,정보 보안 전문가
    22320,정보 보안 전문가
   2239,기타 네트워크 및 정보 보안 전문가
    22391,디지털 포렌식 전문가
    22399,그 외 네트워크 및 정보 보안 전문가
  224,데이터 전문가
   2241,데이터 시스템 전문가
    22411,데이터 설계 및 프로그래머
    22412,데이터베이스 관리 및 운영자
   2242,데이터 분석가
    22420,데이터 분석가
  225,정보 시스템 및 웹 운영자
   2251,정보 시스템 운영자
    22510,정보 시스템 운영자
   2252,웹 운영자
    22520,웹 운영자
  226,통신 및 방송 송출 장비 기사
   2260,통신 및 방송 송출 장비 기사
    22601,통신 장비 기사
    22602,방송 송출 장비 기사
 23,공학 전문가 및 기술직
  231,건축‧토목 공학 기술자 및 시험원
   2311,건축가
    23110,건축가
   2312,건축공학 기술자
    23121,건축구조 기술자
    23122,건축감리 기술자
    23123,건축시공 기술자
    23124,건축설비 기술자
    23125,건축안전 기술자
    23126,건축에너지 관리 및 평가 기술자
    23129,그 외 건축 관련 기술자
   2313,토목공학 기술자
    23131,토목구조 설계 기술자
    23132,토목감리 기술자
    23133,토목시공 기술자
    23134,토목안전 기술자
    23139,그 외 토목 관련 기술자
   2314,조경 기술자
    23141,조경 계획 및 설계 기술자
    23142,조경감리 기술자
    23143,조경시공 기술자
    23149,그 외 조경 관련 기술자
   2315,도시 및 교통 관련 전문가
    23151,도시 계획 및 설계가
    23152,교통 계획 및 설계가
    23153,교통안전 연구원
    23154,교통영향 평가원
    23159,그 외 도시 및 교통 관련 전문가
   2316,측량 및 공간정보 전문가
    23161,측량 및 지리정보 기술자
    23162,사진측량 및 원격탐사 분석가
    23163,지도 제작 기술자
    23164,공간정보 시스템 전문가
    23169,그 외 측량 및 공간정보 전문가
   2317,건설자재 시험원
    23170,건설자재 시험원
  232,화학공학 기술자 및 시험원
   2321,화학공학 기술자 및 연구원
    23211,석유화학 기술자 및 연구원
    23212,고무‧플라스틱 기술자 및 연구원
    23213,농약‧비료 기술자 및 연구원
    23214,도료제품 기술자 및 연구원
    23215,화장품‧비누제품 기술자 및 연구원
    23219,그 외 화학공학 기술자 및 연구원
   2322,화학공학 시험원
    23221,석유화학 시험원
    23222,고무 및 플라스틱 시험원
    23223,농약 및 비료 시험원
    23224,도료제품 시험원
    23225,화장품 및 비누제품 시험원
    23229,그 외 화학공학 시험원
  233,금속‧재료공학 기술자 및 시험원
   2331,금속‧재료공학 연구원 및 기술자
    23311,금속공학 기술자 및 연구원
    23312,요업‧세라믹공학 기술자 및 연구원
    23313,시멘트공학 기술자 및 연구원
    23319,그 외 금속‧재료공학 기술자 및 연구원
   2332,금속 및 재료공학 시험원
    23321,금속공학 시험원
    23322,요업 및 세라믹공학 시험원
    23323,시멘트공학 시험원
    23329,그 외 금속 및 재료공학 시험원
  234,전기‧전자공학 기술자 및 시험원
   2341,전기공학 기술자 및 연구원
    23411,전기제품 개발 기술자 및 연구원
    23412,발전설비 기술자 및 연구원
    23413,송배전설비 기술자 및 연구원
    23414,전기계측 제어 기술자 및 연구원
    23415,전기 감리 기술자 및 연구원
    23416,전기 안전 기술자 및 연구원
    23419,그 외 전기공학 기술자 및 연구원
   2342,반도체공학 기술자 및 연구원
    23421,메모리반도체 기술자 및 연구원
    23422,시스템반도체 기술자 및 연구원
    23423,반도체 공정‧장비 기술자 및 연구원
    23424,반도체소재 기술자 및 연구원
   2343,전자공학 기술자 및 연구원
    23431,전자제품 개발 기술자 및 연구원
    23432,전자계측 제어 기술자 및 연구원
    23433,전자 의료기기 개발 기술자 및 연구원
    23439,그 외 전자공학 기술자 및 연구원
   2344,전기 및 전자공학 시험원
    23441,전기공학 시험원
    23442,반도체공학 시험원
    23443,전자공학 시험원
  235,기계‧로봇공학 기술자 및 시험원
   2351,기계공학 기술자 및 연구원
    23511,금형공학 기술자 및 연구원
    23512,플랜트공학 기술자 및 연구원
    23513,냉난방‧공조공학 기술자 및 연구원
    23514,건설기계공학 기술자 및 연구원
    23515,산업기계공학 기술자 및 연구원
    23516,자동차공학 기술자 및 연구원
    23517,조선공학 기술자 및 연구원
    23518,항공기‧철도차량공학 기술자 및 연구원
    23519,그 외 기계공학 기술자 및 연구원
   2352,로봇공학 기술자 및 연구원
    23520,로봇공학 기술자 및 연구원
   2353,기계 및 로봇공학 시험원
    23531,기계공학 시험원
    23532,로봇공학 시험원
  236,소방‧방재‧산업안전 기술자 및 시험원
   2361,방재 기술자 및 연구원
    23610,방재 기술자 및 연구원
   2362,소방공학 기술자 및 연구원
    23621,소방설계 기술자 및 연구원
    23622,소방시설 공사 기술자 및 연구원
    23623,소방 공사 감리 기술자 및 연구원
    23629,그 외 소방공학 기술자 및 연구원
   2363,산업안전 및 산업위험 관리 기술자 
    23631,산업안전 관리원
    23632,산업위험 관리원
   2364,산업보건 및 산업환경 관리 기술자
    23641,산업보건 관리원
    23642,산업환경 관리원
   2365,소방‧방재 및 산업안전 시험원
,
    23651,소방공학 시험원
    23652,안전 관련 비파괴 검사원
    23659,그 외 소방‧방재 및 산업안전 시험원
  237,환경공학‧가스‧에너지 기술자 및 시험원
   2371,환경공학 기술자 및 연구원
    23711,대기 환경 기술자 및 연구원
    23712,수질 환경 기술자 및 연구원
    23713,토양 환경 기술자 및 연구원
    23714,소음 진동 기술자 및 연구원
    23715,폐기물 처리 기술자 및 연구원
    23716,환경 영향 평가원
    23719,그 외 환경공학 기술자 및 연구원
   2372,신재생에너지 기술자 및 연구원
    23720,신재생에너지 기술자 및 연구원
   2373,가스‧에너지 기술자 및 연구원
    23730,가스‧에너지 기술자 및 연구원
   2374,환경공학 시험원
    23741,대기 환경 시험원
    23742,수질 환경 시험원
    23743,토양 환경 시험원
    23744,소음 진동 시험원
    23745,폐기물 처리 시험원
    23746,환경 영향 시험원
    23749,그 외 환경공학 관련 시험원
   2375,신재생에너지 시험원
    23750,신재생에너지 시험원
   2376,가스 및 에너지 시험원
    23760,가스 및 에너지 시험원
  238,항공기‧선박 기관사 및 관제사
   2381,항공기 조종사
    23811,비행기 조종사
    23812,헬리콥터 조종사
   2382,선장 및 항해사‧도선사
    23821,선장
    23822,항해사
    23823,선박 기관사
    23824,도선사
   2383,관제사
    23831,항공교통 관제사
    23832,선박교통 관제사
    23833,철도교통 관제사
  239,기타 공학 전문가 및 관련 종사자
   2391,식품공학 기술자 및 연구원
    23910,식품공학 기술자 및 연구원
   2392,섬유공학 기술자 및 연구원
    23921,섬유 소재 개발 기술자 및 연구원
    23922,섬유 공정 개발 기술자 및 연구원
    23923,염색 개발 공학 기술자 및 연구원
   2393,식품공학 시험원
    23930,식품공학 시험원
   2394,섬유공학 시험원
    23940,섬유공학 시험원
   2395,제도사
    23951,건축 제도사
    23952,토목 제도사
    23953,기계 제도사
    23954,전기 및 전자 장비 제도사
    23959,그 외 제도사
   2399,기타 공학 관련 기술자 및 시험원
    23990,그 외 공학 관련 기술자 및 시험원
 24,보건 전문가 및 관련직
  241,의사·한의사 및 치과의사
   2411,전문 의사
    24111,내과 전문 의사
    24112,외과 전문 의사
    24113,소아청소년과 전문 의사
    24114,산부인과 전문 의사
    24115,정신건강의학과 및 신경과 전문 의사
    24116,안과 및 이비인후과 전문 의사
    24117,피부과 및 비뇨의학과 전문 의사
    24118,영상의학과 및 병리과 전문 의사
    24119,그 외 전문 의사
   2412,일반 의사
    24120,일반 의사
   2413,한의사
    24131,전문 한의사
    24132,일반 한의사
   2414,치과의사
    24141,전문 치과의사
    24142,일반 치과의사
  242,수의사
   2420,수의사
    24201,동물병원 수의사
    24209,그 외 수의사
  243,약사 및 한약사
   2431,약사
    24311,전문 약사
    24312,일반 약사
   2432,한약사
    24320,한약사
  244,간호사
   2440,간호사
    24401,전문 간호사
    24403,보건교사
    24404,조산사
    24402,일반 간호사
  245,영양사
   2450,영양사
    24501,임상 영양사
    24502,일반 영양사
    24503,영양교사
  246,치료‧재활사 및 의료기사
   2461,임상병리사
    24610,임상병리사
   2462,방사선사
    24620,방사선사
   2463,치과기공사
    24630,치과기공사
   2464,치과위생사
    24640,치과위생사
   2465,재활공학 기사
    24651,의지 보조기기사
    24652,보조공학사
   2466,물리 및 작업 치료사
    24661,물리치료사
    24662,작업치료사
   2467,임상심리사
    24670,임상심리사
   2468,언어 및 청각능력 재활사
    24681,언어 재활사
    24682,청각능력 재활사
   2469,기타 치료‧재활사 및 의료기사
    24691,전통 의료치료사
    24692,음악 및 미술치료사
    24693,놀이 및 행동치료사
    24699,그 외 치료‧재활사 및 의료기사
  249,기타 보건 전문가 및 관련 종사자
   2491,응급 구조사
    24911,119 구조대원
    24912,구급 요원
   2492,위생사
    24920,위생사
   2493,안경사
    24930,안경사
   2494,보건의료정보 관리사
    24940,보건의료정보 관리사
   2495,간호조무사
    24950,간호조무사
   2496,안마사
    24960,안마사
   2497,환자안전 관리사
    24970,환자안전 관리사
 25,사회복지 ‧ 종교 전문가 및 관련직
  251,보육교사
   2510,보육교사
    25100,보육교사
  252,시민사회 활동가
   2520,시민사회 활동가
    25200,시민사회 활동가
  253,사회복지 전문가 및 관련 종사자
   2531,사회복지사
    25310,사회복지사
   2532,직업 관련 상담사
    25321,장애인 직업상담사
    25322,직업상담사
   2533,상담 전문가
    25330,상담 전문가
   2534,청소년 지도사
    25340,청소년 지도사
   2539,기타 사회복지 전문가 및 관련 종사원
    25391,복지시설 생활 지도원
    25399,그 외 사회복지 전문가 및 관련 종사원
  254,종교 관련 종사자
   2541,성직자
    25411,목사
    25412,신부
    25413,승려
    25414,교무
    25419,그 외 성직자
   2549,기타 종교 관련 종사원
    25491,수녀 및 수사
    25492,전도사
    25499,그 외 종교 관련 종사원
 26,교육 전문가 및 관련직
  261,대학교수 및 강사
   2611,대학교수
    26111,교육 분야 교수
    26112,예술 및 인문학 교수
    26113,사회과학‧경영 및 법학 교수
    26114,자연과학‧수학 및 통계학 교수
    26115,정보 통신기술 분야 교수
    26116,공학‧제조 및 건설 분야 교수
    26117,농림어업 및 수의학 교수
    26118,보건 및 복지 분야 교수
    26119,체육 및 그 외 분야 교수
   2612,대학 강사
    26121,교육 분야 강사
    26122,예술 및 인문학 강사
    26123,사회과학‧경영 및 법학 강사
    26124,자연과학‧수학 및 통계학 강사
    26125,정보 통신기술 분야 강사
    26126,공학‧제조 및 건설 분야 강사
    26127,농림어업 및 수의학 강사
    26128,보건 및 복지 분야 강사
    26129,체육 및 그 외 분야 강사
  262,학교 교사
   2621,중‧고등학교 교사
    26211,국어 교사
    26212,수학 교사
    26213,사회 교사
    26214,과학 교사
    26215,예체능 교사
    26216,전문기술 교사
    26217,외국어 교사
    26219,그 외 중‧고등학교 교사
   2622,초등학교 교사
    26220,초등학교 교사
   2623,특수교육 교사
    26231,시각장애인 특수교육 교사
    26232,청각장애인 특수교육 교사
    26239,그 외 특수교육 교사
  263,유치원 교사
   2630,유치원 교사
    26300,유치원 교사
  264,문리‧기술 및 예능 강사
   2641,외국어 강사
    26411,영어 강사
    26412,중국어 강사
    26419,그 외 외국어 강사
   2642,문리 강사
    26421,국어 강사
    26422,수학 강사
    26423,사회 강사
    26424,과학 강사
    26429,그 외 문리 강사
   2643,정보통신기술 강사
    26430,정보통신기술 강사
   2644,간호조무 및 요양보호 강사
    26441,간호조무 강사
    26442,요양보호 강사
   2645,자동차 운전 강사
    26450,자동차 운전 강사
   2646,기술 및 기능계 강사
    26461,디자인 강사
    26462,이‧미용 강사
    26463,요리 강사
    26469,그 외 기술 및 기능계 강사
   2647,예능 강사
    26471,국악 강사
    26472,음악 강사
    26473,미술 강사
    26474,무용 강사
    26479,그 외 예능 강사
   2648,학습‧교구 관련 방문강사
    26481,학습지 방문강사
    26482,교육 교구 방문강사
    26489,그 외 학습‧교구 관련 방문강사
,
   2649,기타 문리‧기술 및 예능 강사
    26491,교육 연수 기관 강사
    26492,기업체 직무 훈련 강사
    26499,그 외 문리‧기술 및 예능 강사
  269,기타 교육 전문가
   2691,장학관‧연구관 및 교육 관련 전문가
    26911,장학관 및 장학사
    26912,교육 연구관 및 교육 연구사
    26913,입학 사정관
    26919,그 외 교육 전문가
   2692,대학 교육 조교
    26920,대학 교육 조교
   2699,기타 교사
    26990,그 외 교사
 27,법률 및 행정 전문직
  271,법률 전문가
   2711,판사 및 검사
    27111,판사
    27112,검사
   2712,변호사
    27120,변호사
   2713,법무사 및 집행관
    27131,법무사
    27132,집행관
   2714,변리사
    27140,변리사
   2719,기타 법률 전문가
    27190,그 외 법률 전문가
  272,정부 행정 전문가 및 관련 종사자
   2721,정부 행정 전문가
    27210,정부 행정 전문가
21111~29820,"27210 제외 세세분류
*유사한 직무를 판단하여 해당되는 코드로 분류"
   2722,행정사
    27220,행정사
 28,경영‧금융 전문가 및 관련직
  281,인사 및 경영 전문가
   2811,인사 및 노사 관련 전문가
    28111,노무사
    28112,인사 컨설턴트
    28113,헤드헌터
    28119,그 외 인사 및 노사 관련 전문가
   2812,회계사
    28120,회계사
   2813,세무사
    28130,세무사
   2814,관세사
    28140,관세사
   2815,경영 및 진단 전문가
    28151,경영 컨설턴트
    28152,기업 인수 및 합병 전문가
    28153,품질 인증 심사 전문가
    28159,그 외 경영 및 진단 전문가
  282,금융 및 보험 전문가
   2821,투자 및 신용 분석가
    28211,투자 및 증권 분석가
    28212,신용 분석가
   2822,자산 운용가
    28221,금융자산 운용가
    28229,그 외 자산 운용가
   2823,보험 및 금융 상품 개발자
    28231,보험 상품 개발자
    28232,금융 상품 개발자
   2824,증권 및 외환 딜러
    28241,증권 중개인
    28242,선물거래 중개인
    28243,외환 딜러
   2825,손해 사정사
    28250,손해 사정사
   2829,기타 금융 및 보험 관련 전문가
    28291,투자 인수 심사원
    28292,보험 인수 심사원
    28293,투자신탁 전문가
    28299,그 외 금융 및 보험 관련 전문가
  283,상품 기획‧홍보 및 조사 전문가
   2831,상품 기획 전문가
    28311,상품 기획자
    28312,마케팅 전문가
   2832,여행 상품 개발자
    28320,여행 상품 개발자
   2833,광고 및 홍보 전문가
    28331,광고 전문가
    28332,홍보 전문가
   2834,조사 전문가
    28340,조사 전문가
   2835,행사·전시 및 회의 기획자
    28351,이벤트 전문가
    28352,행사‧전시 기획자
    28353,국내 및 국제회의 기획자
  284,감정‧기술 영업 및 중개 관련 종사자
   2841,감정 관련 전문가
    28411,부동산 감정 전문가
    28412,예술품 및 문화재 감정 전문가
    28419,동산 및 기타 감정 전문가
   2842,해외 영업원
    28420,해외 영업원
   2843,기술 영업원
    28431,자동차 부품 기술 영업원
    28432,전자 및 통신장비 기술 영업원
    28433,의료장비 기술 영업원
    28434,농업용 기계장비 기술 영업원
    28435,산업용 기계장비 기술 영업원
    28436,의약품 영업원
    28439,그 외 기술 영업원
   2844,상품 중개인 및 경매사
    28441,농수산물 중개인 및 경매사
    28442,예술품 중개인 및 경매사
    28449,그 외 상품 중개인 및 경매사
   2845,부동산 컨설턴트 및 중개사
    28451,부동산 컨설턴트
    28452,부동산 중개사
   2849,기타 기술 영업 및 중개 관련 종사원
    28490,그 외 기술 영업 및 중개 관련 종사원
 29,문화‧예술‧스포츠‧기타 전문가 및 관련직
  291,작가 및 언론 관련 전문가
   2911,작가
    29111,방송 및 시나리오 작가
    29112,문학 작가
    29119,그 외 작가
   2912,출판물 전문가
    29121,출판물 기획자
    29122,출판물 편집자
   2913,기자 및 언론 관련 전문가
    29131,기자
    29132,평론가
    29139,그 외 언론 관련 전문가
   2914,번역가 및 통역가
    29141,번역가
    29142,통역가
  292,학예사‧사서 및 기록물 관리사
   2921,학예사 및 문화재 보존원
    29211,학예사
    29212,문화재 보존원
